deployment_id,is_new,deployment_name,start_date_epoch,end_date_epoch,distance_flown_km,date_added,start_date_ts,end_date_ts,days_deployed,glider_glider_id,glider_glider_name,project_project_name,project_project_id,notes_count,dnum,batt_type,expected_recovery,Notes
224,0,cp_388_20220411T1620,1649694000,,341.519,5/4/22 7:50,4/11/22 16:20,,22.88,20,cp_388,OOI-Pioneer,1,1,14,4s,1657470000,90 day deployment assumed
223,0,cp_388_20220410T2000,1649620800,1649634840,2.416,4/11/22 16:14,4/10/22 20:00,4/10/22 23:54,0.16,20,cp_388,OOI-Pioneer,1,1,13,4s,1657396800,90 day deployment assumed
222,0,cp_380_20220410T1620,1649607600,,574.972,5/4/22 8:50,4/10/22 16:20,,23.88,21,cp_380,OOI-Pioneer,1,1,12,4s,1657383600,90 day deployment assumed
221,0,cp_339_20220409T2123,1649539380,,443.435,5/4/22 10:20,4/9/22 21:23,,24.67,27,cp_339,OOI-Pioneer,1,1,15,4s,1657315380,90 day deployment assumed
218,0,gi_538_20220409T0110,1649466600,1649689740,45.831,4/11/22 15:41,4/9/22 1:10,4/11/22 15:09,2.58,95,gi_538,OOI-Pioneer,1,1,Test,4s,1681002600,Test deployment; expected recovery set to 365 days
219,0,gi_525_20220409T0054,1649465640,1649691060,49.379,4/11/22 15:41,4/9/22 0:54,4/11/22 15:31,2.61,81,gi_525,OOI-Pioneer,1,1,Test,4s,1681001640,Test deployment; expected recovery set to 365 days
215,0,cp_388_20220104T2057,1641329820,1645521360,626.739,2/28/22 14:06,1/4/22 20:57,2/22/22 9:16,48.51,20,cp_388,OOI-Pioneer,1,1,12,4s,1649105820,90 day deployment assumed
213,0,cp_376_20220104T2052,1641329520,1649944800,1756.844,4/15/22 19:27,1/4/22 20:52,4/14/22 14:00,99.71,22,cp_376,OOI-Pioneer,1,1,15,4s,1649105520,90 day deployment assumed
214,0,cp_379_20220104T2051,1641329460,1650666960,1579.392,4/22/22 13:20,1/4/22 20:51,4/22/22 22:36,108.07,6,cp_379,OOI-Pioneer,1,1,14,4s,1649105460,90 day deployment assumed
211,0,cp_514_20211215T00817,1639556220,1639573140,2.566,12/15/21 18:49,12/15/21 8:17,12/15/21 12:59,0.2,84,cp_514,OOI-Pioneer,1,1,3,4s,1647332220,90 day deployment assumed
212,0,cp_913_20211215T0806,1639555560,1639576800,1.617,12/15/21 18:50,12/15/21 8:06,12/15/21 14:00,0.25,92,cp_913,OOI-Pioneer,1,1,2,4s,1647331560,90 day deployment assumed
210,0,cp_380_20211215T0736,1639553760,1645519020,1309.13,2/28/22 14:05,12/15/21 7:36,2/22/22 8:37,69.04,21,cp_380,OOI-Pioneer,1,1,11,4s,1647329760,90 day deployment assumed
209,0,cp_335_20211215T0645,1639550700,1639570080,2.477,12/15/21 18:48,12/15/21 6:45,12/15/21 12:08,0.22,18,cp_335,OOI-Pioneer,1,1,Test,4s,1647326700,90 day deployment assumed
208,0,gp_276_20211113T0925,1636795500,1636809540,1.012,11/16/21 14:30,11/13/21 9:25,11/13/21 13:19,0.16,11,gp_276,OOI-Papa,3,1,3,4s,1653868800,Would have been recovered on Papa 9
207,0,gp_363_21211030T1215,1635596100,1635890160,41.062,11/3/21 12:08,10/30/21 12:15,11/2/21 21:56,3.4,60,gp_363,OOI-Pioneer,1,1,Test,4s,1667132100,Test deployment; expected recovery set to 365 days
206,0,cp_339_20210904T0031,1630715460,1639546560,1374,12/15/21 18:49,9/4/21 0:31,12/15/21 5:36,102.21,27,cp_339,OOI-Pioneer,1,1,14,4s,1638491460,90 day deployment assumed
203,0,cp_559_20210903T2253,1630709580,1636816440,1203.228,11/16/21 14:24,9/3/21 22:53,11/13/21 15:14,70.68,89,cp_559,OOI-Pioneer,1,1,3,4s,1638485580,90 day deployment assumed
204,0,cp_379_20210903T2251,1630709460,1639575000,1676.687,12/15/21 18:50,9/3/21 22:51,12/15/21 13:30,102.61,6,cp_379,OOI-Pioneer,1,1,13,4s,1638485460,90 day deployment assumed
201,0,cp_564_20210903T1945,1630698300,1634825880,477.194,10/24/21 12:49,9/3/21 19:45,10/21/21 14:18,47.77,73,cp_564,OOI-Pioneer,1,1,4,4s,1636934400,Would have been recovered on Pioneer 17
